,item_url
0,https://www.liveauctioneers.com/item/32194900_la-peintre-et-son-modele-26-march-1965
1,https://www.liveauctioneers.com/item/14373034_58-pablo-picasso-1881-1973
2,https://www.liveauctioneers.com/item/16813324_pablo-picasso-buste-de-femme
3,https://www.liveauctioneers.com/item/17183244_pablo-picasso-spanish-1881-1973-buste-de-femme-d-a
4,https://www.liveauctioneers.com/item/16813330_pablo-picasso-le-peintre-et-son-modle-i
5,https://www.liveauctioneers.com/item/41873611_pablo-picasso-vase-deux-anses-grand-oiseau
6,https://www.liveauctioneers.com/item/6398057_378-pablo-picasso-spanish-1881-1973-portrait-of-amb
7,https://www.liveauctioneers.com/item/61806178_pablo-picasso-untitled-fresco-from-the-villa-la
8,https://www.liveauctioneers.com/item/19525307_pablo-picasso-spanish-1881-1973-gouache-and-ink-wash-on
9,https://www.liveauctioneers.com/item/18170396_pablo-picasso-linoleum-cut-1650-bust-de-femme
10,https://www.liveauctioneers.com/item/9004692_231-pablo-picasso-nu-dansant-et-arlequin-16-juin-19
11,https://www.liveauctioneers.com/item/16813318_pablo-picasso-nature-morte-au-gramophone
12,https://www.liveauctioneers.com/item/8870186_pablo-picasso-grand-vase-aux-danseurs-1950
13,https://www.liveauctioneers.com/item/48333155_portrait-de-jacqueline-au-fauteuil
14,https://www.liveauctioneers.com/item/47277990_pablo-picasso-bonne-fete-picasso-tempera-1931
15,https://www.liveauctioneers.com/item/30936427_pablo-picasso-spanish-1881-1973
16,https://www.liveauctioneers.com/item/7948261_22-irving-penn-pablo-picasso-at-la-californie-cannes
17,https://www.liveauctioneers.com/item/41873609_pablo-picasso-plat-taureau-a-l-oiseau-unique
18,https://www.liveauctioneers.com/item/8111599_49-pablo-picasso-la-femme-la-fentre-1952-3
19,https://www.liveauctioneers.com/item/41873605_pablo-picasso-plat-picador-et-toreador
20,https://www.liveauctioneers.com/item/10951088_537-pablo-picasso-le-repas-frugal-from-la-suite-des
21,https://www.liveauctioneers.com/item/16813328_pablo-picasso-homme-et-vieille-femme-v
22,https://www.liveauctioneers.com/item/45879111_pablo-picasso-1881-1973
23,https://www.liveauctioneers.com/item/47954723_pablo-picasso-assiette-tte-de-femme-unique
24,https://www.liveauctioneers.com/item/11328266_117-pablo-picasso-1881-1973-reclining-nude-1970
25,https://www.liveauctioneers.com/item/11856880_185-pablo-picasso-1881-1973-le-repas-frugal-from-l
26,https://www.liveauctioneers.com/item/11508771_64012-pablo-picasso-spanish-1881-1973-djeuner-sur
